# airbench94.py Training Results
# CIFAR-10 Image Classification Benchmark
# Log file: logs/8953448b-a7fa-4ae7-a6bc-f0edf65f5f81/log.pt

------------------------------------------------------------------------------------------------------
|   Epoch  |   Step  |      Loss  |  Train Acc |  Batch Acc |    Eval Acc |   Time (s)          |
|          |      1  |      1.2617  |     0.7949  |   0.7686  |             |              0.9444  |
|          |      2  |      1.2012  |     0.8389  |   0.7469  |             |              1.4130  |
|          |      3  |      1.1553  |     0.8535  |   0.7797  |             |              1.8499  |
|          |      4  |      1.0996  |     0.8828  |   0.8776  |             |              2.2860  |
|          |      5  |      1.0762  |     0.9014  |   0.8537  |             |              2.7225  |
|          |      6  |      1.0469  |     0.9219  |   0.8792  |             |              3.1589  |
|          |      7  |      1.0195  |     0.9404  |   0.9081  |             |              3.5959  |
|          |      8  |      0.9619  |     0.9678  |   0.9236  |             |              4.0322  |
|          |      9  |      0.9390  |     0.9805  |   0.9303  |             |              4.4327  |
|          |   eval  |      0.9390  |     0.9805  |   0.9303  |     0.9396  |              4.6102  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4502  |     0.6875  |   0.6482  |             |              0.4747  |
|          |      1  |      1.2412  |     0.8213  |   0.7572  |             |              0.9436  |
|          |      2  |      1.1885  |     0.8418  |   0.7325  |             |              1.4120  |
|          |      3  |      1.1699  |     0.8486  |   0.7272  |             |              1.8486  |
|          |      4  |      1.1436  |     0.8594  |   0.8479  |             |              2.2848  |
|          |      5  |      1.0547  |     0.9170  |   0.8585  |             |              2.7217  |
|          |      6  |      1.0312  |     0.9268  |   0.8957  |             |              3.1576  |
|          |      7  |      1.0098  |     0.9463  |   0.8852  |             |              3.5943  |
|          |      8  |      0.9683  |     0.9600  |   0.9254  |             |              4.0299  |
|          |      9  |      0.9434  |     0.9785  |   0.9309  |             |              4.4303  |
|          |   eval  |      0.9434  |     0.9785  |   0.9309  |     0.9404  |              4.6075  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4707  |     0.6973  |   0.5821  |             |              0.4750  |
|          |      1  |      1.2607  |     0.8115  |   0.7918  |             |              0.9437  |
|          |      2  |      1.2051  |     0.8340  |   0.7504  |             |              1.4123  |
|          |      3  |      1.1768  |     0.8564  |   0.8111  |             |              1.8490  |
|          |      4  |      1.1377  |     0.8730  |   0.8335  |             |              2.2859  |
|          |      5  |      1.0625  |     0.9072  |   0.8293  |             |              2.7222  |
|          |      6  |      1.0371  |     0.9258  |   0.8925  |             |              3.1578  |
|          |      7  |      1.0518  |     0.9170  |   0.8733  |             |              3.5945  |
|          |      8  |      0.9722  |     0.9561  |   0.9235  |             |              4.0301  |
|          |      9  |      0.9419  |     0.9736  |   0.9373  |             |              4.4305  |
|          |   eval  |      0.9419  |     0.9736  |   0.9373  |     0.9416  |              4.6080  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4639  |     0.6914  |   0.4383  |             |              0.4768  |
|          |      1  |      1.2832  |     0.7900  |   0.7171  |             |              0.9462  |
|          |      2  |      1.1885  |     0.8428  |   0.8154  |             |              1.4149  |
|          |      3  |      1.1650  |     0.8574  |   0.8038  |             |              1.8520  |
|          |      4  |      1.1494  |     0.8506  |   0.8041  |             |              2.2881  |
|          |      5  |      1.0850  |     0.9102  |   0.8582  |             |              2.7247  |
|          |      6  |      1.0479  |     0.9170  |   0.8891  |             |              3.1608  |
|          |      7  |      1.0195  |     0.9346  |   0.8947  |             |              3.5975  |
|          |      8  |      0.9727  |     0.9570  |   0.9214  |             |              4.0338  |
|          |      9  |      0.9453  |     0.9707  |   0.9321  |             |              4.4347  |
|          |   eval  |      0.9453  |     0.9707  |   0.9321  |     0.9415  |              4.6120  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4219  |     0.7021  |   0.6452  |             |              0.4749  |
|          |      1  |      1.2490  |     0.8145  |   0.7648  |             |              0.9439  |
|          |      2  |      1.1855  |     0.8564  |   0.8007  |             |              1.4121  |
|          |      3  |      1.1543  |     0.8633  |   0.8180  |             |              1.8489  |
|          |      4  |      1.1396  |     0.8652  |   0.8643  |             |              2.2851  |
|          |      5  |      1.0820  |     0.8975  |   0.8699  |             |              2.7223  |
|          |      6  |      1.0430  |     0.9229  |   0.8828  |             |              3.1584  |
|          |      7  |      1.0234  |     0.9287  |   0.8986  |             |              3.5950  |
|          |      8  |      0.9604  |     0.9688  |   0.9216  |             |              4.0310  |
|          |      9  |      0.9419  |     0.9775  |   0.9343  |             |              4.4318  |
|          |   eval  |      0.9419  |     0.9775  |   0.9343  |     0.9411  |              4.6091  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4053  |     0.7158  |   0.6318  |             |              0.4751  |
|          |      1  |      1.2852  |     0.7910  |   0.7419  |             |              0.9442  |
|          |      2  |      1.1953  |     0.8301  |   0.7292  |             |              1.4126  |
|          |      3  |      1.1729  |     0.8408  |   0.7637  |             |              1.8492  |
|          |      4  |      1.1602  |     0.8516  |   0.8337  |             |              2.2857  |
|          |      5  |      1.0850  |     0.8975  |   0.8511  |             |              2.7227  |
|          |      6  |      1.0547  |     0.9141  |   0.8474  |             |              3.1592  |
|          |      7  |      1.0361  |     0.9297  |   0.9013  |             |              3.5974  |
|          |      8  |      0.9790  |     0.9590  |   0.9199  |             |              4.0336  |
|          |      9  |      0.9404  |     0.9863  |   0.9325  |             |              4.4343  |
|          |   eval  |      0.9404  |     0.9863  |   0.9325  |     0.9385  |              4.6116  |
------------------------------------------------------------------------------------------------------

# Summary Statistics
Mean Eval Accuracy: 0.9404
Standard Deviation: 0.0016

# Per-Epoch Eval Accuracies
Epoch  0: 0.9379
Epoch  1: 0.9387
Epoch  2: 0.9400
Epoch  3: 0.9381
Epoch  4: 0.9396
Epoch  5: 0.9400
Epoch  6: 0.9380
Epoch  7: 0.9425
Epoch  8: 0.9408
Epoch  9: 0.9439
Epoch 10: 0.9427
Epoch 11: 0.9408
Epoch 12: 0.9420
Epoch 13: 0.9397
Epoch 14: 0.9421
Epoch 15: 0.9394
Epoch 16: 0.9407
Epoch 17: 0.9414
Epoch 18: 0.9391
Epoch 19: 0.9396
Epoch 20: 0.9404
Epoch 21: 0.9416
Epoch 22: 0.9415
Epoch 23: 0.9411
Epoch 24: 0.9385
